city,entropy_type,n,n_covariates,ols_r2,ols_adj_r2,ols_catchment_coef,ols_catchment_se,ols_catchment_t,ols_catchment_p,ols_aic,ols_schwarz,w1_mean_neighbors,w1_n_nonzero,w1_cutoff_m,w1_decay_alpha,w2_mean_neighbors,w2_n_nonzero,pois_near_transit,pois_near_transit_pct,w1ex_mean_neighbors,w1ex_n_nonzero,w1_rho,w1_rho_se,w1_rho_z,w1_rho_p,w1_rho_ci_lower,w1_rho_ci_upper,w1_rho_stationary,w1_pr2,w1_sig2,w1_catchment_coef,w1_catchment_se,w1_catchment_z,w1_catchment_p,w2_rho,w2_rho_se,w2_rho_z,w2_rho_p,w2_rho_ci_lower,w2_rho_ci_upper,w2_rho_stationary,w2_pr2,w2_sig2,w2_catchment_coef,w2_catchment_se,w2_catchment_z,w2_catchment_p,w1ex_rho,w1ex_rho_se,w1ex_rho_z,w1ex_rho_p,w1ex_rho_ci_lower,w1ex_rho_ci_upper,w1ex_rho_stationary,w1ex_pr2,w1ex_sig2,w1ex_catchment_coef,w1ex_catchment_se,w1ex_catchment_z,w1ex_catchment_p,country
US - new_york,birth,123716,7,0.669653601236601,0.669634908631504,0.5547317094302855,0.0021899637381165653,253.30634465544688,0.0,-293756.634085056,-293678.82813389436,678.2378269585179,83908871.0,800,1.0,19.005205470593943,2351248.0,100188,80.98224966859581,659.5402373177277,81595680.0,0.7548136970951091,0.006284273139435297,120.11153562986865,0.0,0.742496521741816,0.7671308724484023,True,0.8109711031852226,0.003130646087730583,0.08749209294947491,0.004229430568349084,20.686494679501635,4.5834731248261724e-95,0.057984349223954235,0.000595512723848904,97.36878307014355,0.0,0.05681714428521038,0.059151554162698086,True,0.7015991226507432,0.0049218861083828325,0.5016292279663332,0.002151674556552447,233.1343401532229,0.0,0.5238086737954291,0.005070027733783869,103.31475512551083,0.0,0.5138714194372127,0.5337459281536454,True,0.7736101752724984,0.003749350575572779,0.22023568287282558,0.003712480747393694,59.32305050401665,0.0,US
US - washington_dc,birth,19615,7,0.5135266271192173,0.5133529486569249,0.2072911399700068,0.006784584375794554,30.553255511061515,2.4938423231582156e-200,-40680.128894656285,-40617.05649578714,139.3229671170023,2732820.0,800,1.0,14.638490950802957,287134.0,15423,78.6286005607953,124.86321692582207,2449192.0,0.4967384792209373,0.019660355521731093,25.265996775687984,7.556365599673444e-141,0.4582041823983443,0.5352727760435302,True,0.6629333220061165,0.00514603422858582,0.0998068360937765,0.007092126082411156,14.07290774783357,5.572997012643542e-45,0.025336009773423873,0.0016694991311903776,15.175814889678273,5.113866430089604e-52,0.022063791476290732,0.028608228070557015,True,0.5246347767911004,0.007185489962125317,0.18955158371681335,0.00680653484126154,27.848470350543508,1.1240752360728871e-170,0.2392015035019881,0.009357784885097144,25.56176557156506,4.06295334026306e-144,0.2208602451271977,0.2575427618767785,True,0.5793537803145556,0.006370721940468441,0.14643928707878562,0.006747691402428942,21.702131639581562,1.9586920180246293e-104,US
US - atlanta,birth,28514,7,0.6742280116501786,0.6741480143191448,0.33176393887242384,0.0044399900275758275,74.72177568235718,0.0,-46673.617741207665,-46607.552537417956,105.88328540366136,3019156.0,800,1.0,9.56638844076594,272776.0,21998,77.14806761590798,96.9151995510977,2763440.0,0.5140843211109143,0.014165486269094247,36.29132889228978,2.2168834884024323e-288,0.4863199680234896,0.541848674198339,True,0.7677883559517615,0.008146051234492737,0.13709217895694792,0.006547750273028755,20.93729498537121,2.449788481576124e-97,-0.01111556266115915,0.002263548482473177,-4.910680176381364,9.076101657767876e-07,-0.015552117686806578,-0.006679007635511724,True,0.672718030004262,0.011439570314983175,0.33450308283285324,0.004484477111710157,74.59132346988171,0.0,0.2721391280199441,0.008757415741110346,31.075277920451885,5.1984161075996e-212,0.2549745931673678,0.2893036628725204,True,0.7192526455185321,0.009822848055465114,0.2234439981507803,0.0053992130880737566,41.384548915904524,0.0,US
Sweden - Stockholm,birth,15926,7,0.06935026312263359,0.06894100642215972,0.25623001545094937,0.01378237603588368,18.59113514127252,2.4354931131319365e-76,-18457.90585614607,-18396.50018996353,1246.1279040562601,19845833.0,800,1.0,39.82368454100214,634232.0,15819,99.32814265980159,1206.3007660429487,19211546.0,0.5996770743096871,0.07772555299927614,7.7153143486193265,1.2068441225339813e-14,0.44733499043110586,0.7520191581882683,True,0.08651549455438727,0.018018726932364525,0.09572320018551395,0.024883209333105977,3.846899284738106,0.00011962211321677265,0.007529249475180411,0.009485273690905311,0.7937830494442791,0.42732174223812347,-0.011061886958993999,0.02612038590935482,True,0.06985939126127289,0.018344829939026065,0.25640811603832603,0.013776977371160987,18.611347694818672,2.599947819533019e-77,0.15552190838595692,0.02794607432657857,5.565071736678424,2.6204458705822812e-08,0.10074760270586292,0.21029621406605092,True,0.07338283321337984,0.018275465366457293,0.21704575153400185,0.015447150419592937,14.050860232363908,7.610394406601218e-45,Sweden
Sweden - Göteborg,birth,7100,7,0.143042138800052,0.1421962977074971,0.28787288278001455,0.019590830428881555,14.694266474565636,3.5656452897333606e-48,-7879.6423672248675,-7824.699566720632,488.3494366197183,3467281.0,800,1.0,23.269859154929577,165216.0,6969,98.15492957746478,465.07661971830987,3302044.0,0.6958495194166545,0.09006038921165299,7.726476928512074,1.1056382681928218e-14,0.5193311565618146,0.8723678822714944,True,0.19082364723355452,0.018188546086192095,0.08717572000406726,0.032199879562089063,2.707330623270551,0.006782667135024865,0.02331436818142585,0.012155987905904901,1.9179328214122888,0.055119529864420286,-0.0005113681141477588,0.047140104476999456,True,0.14661790063392705,0.01917587771875701,0.2863751776366712,0.019554677707155087,14.644842626676791,1.4533737975754284e-48,0.35268175711011907,0.045921290070074776,7.6801360887713574,1.5891967374333314e-14,0.2626760285727725,0.44268748564746563,True,0.1657676232726765,0.018747300819960965,0.18423376752917164,0.02356571355850335,7.817873499641751,5.372313749053e-15,Sweden
Sweden - Malmö,birth,5202,7,0.09627424429244746,0.09505628505294939,0.15827755817242917,0.020182332137019622,7.842381995196043,5.327082749847594e-15,-6215.964670702137,-6163.510283134068,512.5874663590927,2666480.0,800,1.0,29.771626297577853,154872.0,5066,97.38562091503267,482.81468665897734,2511602.0,0.8667764381170286,0.11794339890202657,7.349088174379679,1.9956351518817482e-13,0.6356073762690566,1.0979454999650007,True,0.12176451346572831,0.017279263966674306,0.00031938485251181703,0.029320200681292936,0.01089299681074806,0.9913088179029846,0.020627383093596574,0.014446114799159722,1.4278844783094478,0.15332511193525178,-0.00768700191275648,0.04894176809994963,True,0.09862317851254725,0.01762453689258336,0.15472411131234765,0.020293851897996318,7.624186482193855,2.455781416068249e-14,0.6010355788679078,0.07482011464652073,8.033074818281598,9.505965774251564e-16,0.4543881541607272,0.7476830035750884,True,0.11907939298740013,0.01722546553201,0.037011124165939435,0.024986960028800333,1.4812175680146715,0.13854860621967183,Sweden
Sweden - Uppsala,birth,2918,7,0.07110738529157867,0.06887293570293296,0.16249950781391753,0.019334041843780785,8.404838942985377,6.611524545005807e-17,-3303.566138001509,-3255.736908168847,315.4475668265936,920476.0,800,1.0,16.664838930774504,48628.0,2867,98.25222755311857,298.78135709389994,871844.0,0.6776951310201582,0.24516823854493733,2.76420442975097,0.005706177723941818,0.19716538347208107,1.1582248785682354,True,0.09114539405350235,0.018432864500035485,0.05470110310163179,0.04343877351214292,1.2592690511010995,0.20793316788869742,-0.0069829778656380626,0.020068531532003768,-0.3479565933612103,0.7278727823308223,-0.046317299668365446,0.03235134393708932,True,0.07037837644778686,0.01878480194070961,0.16330060714177286,0.01945184693408282,8.395120920658874,4.654150166175181e-17,0.4749751705510832,0.13899905486243905,3.41711079273988,0.0006328951746484317,0.20253702302070264,0.7474133180814637,True,0.08550853757825637,0.018479438724602344,0.08261601494949211,0.030224434600158133,2.733418045446576,0.006268072005036193,Sweden
Sweden - Västerås,birth,1926,7,0.036245768230529274,0.03272841701969187,0.14562787963142654,0.031823575981237404,4.576100426843484,5.040642544090768e-06,-1619.8340219279953,-1575.3284171891307,174.17705088265836,335465.0,800,1.0,14.208722741433021,27366.0,1784,92.62720664589824,159.96573208722742,308094.0,0.7899021537206821,0.30573980231573156,2.5835764520609112,0.00977817929052854,0.19065214118184826,1.3891521662595159,True,0.055682577156671506,0.02497514277050297,0.020041344299894348,0.05804093302357671,0.3452967286337969,0.7298713057831685,0.020151084964190602,0.01974388578196287,1.02062406492443,0.3074325834770135,-0.01854693116845662,0.05884910109683782,True,0.03905931669942809,0.024969222854165952,0.14308764246701955,0.031809055819077815,4.498330389964019,6.848920459817328e-06,0.288692352896172,0.10408134410055873,2.7737185313176815,0.005541960464314101,0.0846929184590769,0.49269178733326713,True,0.049670562545288836,0.024692842105186283,0.09641731105892148,0.03618368868126106,2.6646622987571313,0.007706566908361409,Sweden
Sweden - Örebro,birth,1946,7,0.038363148256342905,0.034889743735080914,0.11455141519864398,0.027741707777303382,4.129212812643177,3.794604806536613e-05,-2426.6967896794504,-2382.1085395774826,351.8802672147996,684759.0,800,1.0,25.713257965056528,50038.0,1854,95.27235354573484,326.1644398766701,634716.0,0.3647882381017524,0.324490335532892,1.1241882982514146,0.26093315261796957,-0.2712128195427159,1.0007892957462208,True,0.05532444233858718,0.01639284492486451,0.06805334614781344,0.049635591523948176,1.371059436553286,0.17035642852337118,0.02696540179517881,0.02232534618726183,1.2078380137533749,0.2271095763343951,-0.016792276731854378,0.070723080322212,True,0.042461866029737456,0.016617086257913707,0.11219423334929601,0.027695299301243585,4.051020793418839,5.099467507942248e-05,0.5996735514670544,0.11743830759684906,5.10628570641241,3.285528146950223e-07,0.36949446857723023,0.8298526343568785,True,0.045472418144485084,0.016615498486276865,0.032262594244489406,0.031981991075586885,1.0087737867301425,0.31308313530573884,Sweden
Sweden - Linköping,birth,1914,7,0.06754347401389271,0.06411892223954707,0.15657794756467425,0.030547233439133882,5.125765247339327,3.26341090759067e-07,-1937.7029204600376,-1893.2473158839343,306.880355276907,587369.0,800,1.0,25.443051201671892,48698.0,1864,97.3876698014629,281.43469174503656,538666.0,0.8352851066717228,0.20732455425497184,4.028876896291178,5.604395443126588e-05,0.428928980331978,1.2416412330114677,True,0.10219608922649571,0.020487580711148298,0.012670129944687858,0.046671626884719944,0.2714739294600419,0.7860265483572921,-0.05376042702966105,0.02921029456999529,-1.8404616530256963,0.06570048914459573,-0.11101260438685182,0.0034917503275297135,True,0.06050911359751546,0.0212640498559884,0.17052204738222443,0.03152759790994542,5.408659672370188,6.34981610341797e-08,0.43063185219823374,0.1134908757903537,3.7944182666606565,0.00014799002024326558,0.20818973564914048,0.653073968747327,True,0.092840811979214,0.02052492114899702,0.0798665861296115,0.036231960075975365,2.2043131523146418,0.027502328619757734,Sweden
Sweden - Helsingborg,birth,2108,7,0.08198068593678598,0.0789206215565752,0.1560536366768588,0.029743426122123027,5.246659750498171,1.704614400658708e-07,-1904.2579914380458,-1859.0300321607558,263.7969639468691,556084.0,800,1.0,27.50664136622391,57984.0,2048,97.15370018975332,236.28842504743832,498096.0,0.7007610172622947,0.18004231761848427,3.892201714194942,9.933859695178908e-05,0.3478780747300655,1.053643959794524,True,0.10807964883653878,0.022928893748314364,0.060767557824398466,0.038178042180833385,1.5916886868260036,0.1114546715618278,0.04298174550703937,0.024881139418200707,1.7274830056857429,0.08408095466985452,-0.005785287752634011,0.09174877876671275,True,0.08491735835966109,0.02347042189295527,0.1446386551722938,0.03036714034129408,4.7629988713691995,1.9073690848846126e-06,0.48919599536249336,0.12478559233147508,3.9202922887364604,8.84416359389704e-05,0.2446162343928022,0.7337757563321845,True,0.09410596630064932,0.02323652061587681,0.09857483959504165,0.032935006171378414,2.9930111165640643,0.0027623968716015564,Sweden
